x1,x2,target,balke_lb,balke_ub,cpid_lb,cpid_ub,cpid_time_sec
1,0,P(Y_1=1),0.1455,0.172,0.1455,0.9484999999999999,0.2927091121673584
0,0,P(Y_0=1),0.0145,0.066,0.0145,0.5025000000000001,0.2927091121673584
